1,"17462835000166","MT","20250801","20250801",10733,"NF","1","5405",833.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,"07114891000156","MT","20250801","20250801",10734,"NF","1","5405",1118.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,"02623537000990","MT","20250801","20250801",10737,"NF","1","5910",514.75,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,"00968779000133","MT","20250801","20250801",10735,"NF","1","5405",1399.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,"02623537000990","MT","20250801","20250801",10738,"NF","1","5910",96.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,"02623537000990","MT","20250801","20250801",10736,"NF","1","5405",10579.32,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,"07114891000237","MT","20250805","20250805",10740,"NF","1","5405",1053.75,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,"49133618000119","MT","20250801","20250801",10739,"NF","1","5405",1080.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,"01466831000116","MT","20250805","20250805",10741,"NF","1","5405",1238.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,"93209765054047","MT","20250805","20250805",10742,"NF","1","5401",2310.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,"93209765054047","MT","20250805","20250805",10743,"NF","1","5401",2700.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,"13679391000164","MT","20250806","20250806",10746,"NF","1","5405",813.75,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,"15452582000114","MT","20250805","20250805",10744,"NF","1","5405",302.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,"13679391000164","MT","20250806","20250806",10747,"NF","1","5401",1540.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,"00968779000133","MT","20250805","20250805",10745,"NF","1","5405",1399.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,"93209765055108","MT","20250806","20250806",10748,"NF","1","5401",1540.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,"93209765053822","MT","20250806","20250806",10751,"NF","1","5401",1350.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,"93209765055108","MT","20250806","20250806",10749,"NF","1","5401",540.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,"93209765053822","MT","20250806","20250806",10750,"NF","1","5401",1155.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,"93209765053822","MT","20250806","20250806",10752,"NF","1","5401",648.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,"02807661000310","MT","20250807","20250807",10753,"NF","1","5405",768.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,"02807661000230","MT","20250807","20250807",10754,"NF","1","5405",365.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,"26473974000186","MT","20250807","20250807",10755,"NF","1","5405",936.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,"08800033000128","MT","20250807","20250807",10756,"NF","1","5405",1005.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,"36299424000146","MT","20250807","20250807",10757,"NF","1","5401",470.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,"01436106000103","MT","20250808","20250808",10758,"NF","1","5405",1399.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,"29668411000131","MT","20250808","20250808",10759,"NF","1","5405",733.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,"07373832000100","MT","20250808","20250808",10760,"NF","1","5405",629.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,"02241402000103","MT","20250808","20250808",10761,"NF","1","5405",1093.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,"52962853000108","MT","20250808","20250808",10762,"NF","1","5405",757.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,"36737442000243","MT","20250812","20250812",10764,"NF","1","5405",942.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,"47068175000102","MT","20250811","20250811",10763,"NF","1","5401",5220.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,"13617688000286","MT","20250812","20250812",10765,"NF","1","5405",942.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,"50592177000100","MT","20250812","20250812",10767,"NF","1","5405",1157.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,"13617688000103","MT","20250812","20250812",10766,"NF","1","5405",950.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,"37456910000193","MT","20250813","20250813",10768,"NF","1","5405",3330.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,"37456910000193","MT","20250813","20250813",10769,"NF","1","5910",277.50,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,"14739053000567","MT","20250813","20250813",10772,"NF","1","5405",830.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,"26908370000115","MT","20250813","20250813",10770,"NF","1","5405",672.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,"14739053000133","MT","20250813","20250813",10771,"NF","1","5405",7333.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,"14739053000800","MT","20250813","20250813",10773,"NF","1","5405",258.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,"14739053000729","MT","20250813","20250813",10774,"NF","1","5405",6617.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,"14739053000214","MT","20250813","20250813",10775,"NF","1","5405",3030.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
44,"93209765057224","MT","20250814","20250814",10777,"NF","1","5401",3240.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
45,"49166311000114","MT","20250814","20250814",10779,"NF","1","5401",470.00,"500",0.00,0.00,0.00,0.00,0.00,0.00,0.00
